#SYMBOL,SYSTEM,MOMENT,ID_DEAL,PRICE_DEAL,VOLUME,OPEN_POS,DIRECTION
RNH1,F,20110111100038157,255224269,22143.00000,1,23548,B
RIH1,F,20110111100038267,255224270,178755.00000,1,292556,B
BRF1,F,20110111100038360,255224271,95.15000,4,60374,B
RIH1,F,20110111100038377,255224272,178730.00000,3,292512,S
RIH1,F,20110111100038377,255224273,178725.00000,1,292512,S
RIH1,F,20110111100038377,255224274,178725.00000,1,292512,S
RIH1,F,20110111100038377,255224275,178725.00000,2,292512,S
RIH1,F,20110111100038377,255224276,178720.00000,3,292512,S
RIH1,F,20110111100038377,255224277,178720.00000,4,292512,S
RIH1,F,20110111100038377,255224278,178720.00000,2,292512,S
RIH1,F,20110111100038377,255224279,178715.00000,1,292512,S
RIH1,F,20110111100038377,255224280,178710.00000,1,292512,S
RIH1,F,20110111100038377,255224281,178685.00000,2,292512,S
RIH1,F,20110111100038377,255224282,178680.00000,3,292512,S
RIH1,F,20110111100038377,255224283,178680.00000,1,292512,S
RIH1,F,20110111100038377,255224284,178675.00000,4,292512,S
RIH1,F,20110111100038377,255224285,178665.00000,1,292512,S
RIH1,F,20110111100038377,255224286,178665.00000,11,292512,S
LKH1,F,20110111100038690,255224287,17720.00000,1,79630,B
RIH1,F,20110111100038767,255224288,178745.00000,1,292512,B
RIH1,F,20110111100038767,255224289,178745.00000,2,292518,B
RIH1,F,20110111100038767,255224290,178745.00000,3,292518,B
